Model,Dataset,Exact Acc,RPS,Log Loss,Win Acc,Brier,0-0 Acc,1-0 Acc,1-1 Acc
Independent Poisson,World Cup 2018,0.15625,0.198621766962797,0.9479837617390257,0.5625,0.1871367201251722,0.0,0.6666666666666666,0.14285714285714285
Dixon-Coles,World Cup 2018,0.140625,0.19971414800980142,0.9570841818638824,0.5625,0.18932148219910042,0.0,0.16666666666666666,1.0
Bivariate Poisson,World Cup 2018,0.171875,0.19861872276121667,0.9513377735672588,0.5625,0.18805046731288202,0.0,0.8333333333333334,0.14285714285714285
Zero-Inflated Poisson,World Cup 2018,0.078125,0.20073867284727437,0.9613986503636465,0.5625,0.19031943158573714,1.0,0.16666666666666666,0.0
Independent Poisson,World Cup 2022,0.09375,0.2093227538216571,1.0054301511997632,0.5625,0.19702961436332686,0.0,0.42857142857142855,0.2
Dixon-Coles,World Cup 2022,0.140625,0.20962310023868722,1.01213624278236,0.546875,0.19763030718914468,0.0,0.14285714285714285,0.8
Bivariate Poisson,World Cup 2022,0.09375,0.20943568313725802,1.0105677628057679,0.5625,0.19706499416907117,0.14285714285714285,0.42857142857142855,0.2
Zero-Inflated Poisson,World Cup 2022,0.1875,0.20987975472366827,1.0146146178496833,0.546875,0.19838328634388555,1.0,0.42857142857142855,0.0
Independent Poisson,Modern Holdout 2024+,0.12716763005780346,0.16318797240138108,0.851611123642522,0.6044591246903386,0.1668085703596637,0.004464285714285714,0.36046511627906974,0.2157676348547718
Dixon-Coles,Modern Holdout 2024+,0.12427745664739884,0.1629264249319646,0.8485587373247782,0.6044591246903386,0.16628547540666966,0.017857142857142856,0.12015503875968993,0.49377593360995853
Bivariate Poisson,Modern Holdout 2024+,0.1333608587943848,0.1631543031815231,0.8496597503909259,0.6044591246903386,0.16651250197763903,0.049107142857142856,0.4573643410852713,0.17842323651452283
Zero-Inflated Poisson,Modern Holdout 2024+,0.1263418662262593,0.16311609627279078,0.849866243762385,0.6044591246903386,0.16651972744059737,0.4732142857142857,0.2054263565891473,0.029045643153526972
