Feature,Mean_Abs_SHAP,Family,Relative_Importance
elo_diff,0.16286789,ELO,0.16982478
rank_diff,0.11631217,Other,0.12128043
away_goals_conceded_avg_L5,0.07563249,Form,0.07886312
home_team,0.04711572,Context/Identity,0.049128264
away_avg_opponent_elo_last_10,0.04555737,Opponent-Strength,0.04750335
neutral,0.043403607,Context/Identity,0.045257587
home_avg_opponent_elo_last_10,0.037407637,Opponent-Strength,0.0390055
away_team,0.03264111,Context/Identity,0.03403537
h2h_avg_goals_home,0.031107819,H2H,0.032436587
home_goals_scored_avg_L5,0.030178117,Form,0.031467173
away_weighted_goal_diff_last_10,0.030069333,Opponent-Strength,0.031353742
h2h_avg_goals_away,0.02557141,H2H,0.026663689
away_fifa_points,0.024434727,FIFA,0.025478454
away_avg_opponent_elo_last_5,0.024310276,Opponent-Strength,0.025348688
away_goal_diff_avg_L10,0.021673474,Form,0.022599256
away_fifa_rank,0.021326715,FIFA,0.022237683
home_avg_opponent_elo_last_5,0.02079352,Opponent-Strength,0.021681713
home_goal_diff_avg_L10,0.019416919,Form,0.02024631
home_elo_pre,0.018887265,ELO,0.019694032
home_fifa_rank,0.015235819,FIFA,0.015886616
home_weighted_goal_diff_last_10,0.014536107,Opponent-Strength,0.015157015
tournament,0.011999433,Context/Identity,0.012511987
away_weighted_goal_diff_last_5,0.011015682,Opponent-Strength,0.0114862155
away_elo_pre,0.010830596,ELO,0.011293224
home_weighted_goal_diff_last_5,0.010095446,Opponent-Strength,0.010526672
home_goals_conceded_avg_L5,0.007966327,Form,0.008306608
away_win_rate_L10,0.0067728697,Form,0.007062172
away_goals_scored_avg_L5,0.006704593,Form,0.006990979
away_avg_opponent_fifa_rank_last_10,0.0066217966,Opponent-Strength,0.006904646
home_fifa_points,0.0065040635,FIFA,0.006781884
away_avg_opponent_fifa_rank_last_5,0.0064269463,Opponent-Strength,0.0067014727
home_win_rate_L10,0.0057199295,Form,0.005964256
home_avg_opponent_fifa_rank_last_10,0.005072291,Opponent-Strength,0.0052889534
home_avg_opponent_fifa_rank_last_5,0.00482544,Opponent-Strength,0.0050315578
