,0
elo_diff,0.13892783658131586
away_goal_diff_avg_L10,0.11180603455220779
away_goals_conceded_avg_L5,0.06171192962705376
home_goal_diff_avg_L10,0.057202870796911026
away_team,0.04959298402476179
home_team,0.04914657646265358
h2h_avg_goals_home,0.0481744333491044
home_goals_scored_avg_L5,0.04269338957992924
rank_diff,0.041460664620934236
away_goals_scored_avg_L5,0.03800420255887027
home_elo_pre,0.03581095125474351
home_goals_conceded_avg_L5,0.035420928323661005
h2h_avg_goals_away,0.03335125269106808
away_elo_pre,0.03300645425584053
tournament,0.029618321834220588
h2h_matches_played,0.027669936582840667
h2h_home_win_rate,0.022331666392308814
home_win_rate_L10,0.02193655035204233
away_win_rate_L10,0.020332070744542383
home_fifa_points,0.01502975091251662
home_fifa_rank,0.014911064446563656
away_fifa_points,0.014719947768753709
away_fifa_rank,0.013116566367180869
home_shootout_count,0.012245395459001005
home_shootout_win_rate,0.00937419206391338
away_shootout_count,0.008374876862989227
away_shootout_win_rate,0.007269229117625829
neutral,0.006759922416445779
