team,round_of_32_probability
Argentina,0.99154
Spain,0.99559
France,0.9776
England,0.98135
Brazil,0.98417
Portugal,0.96368
Germany,0.98608
Netherlands,0.94652
Belgium,0.96405
Colombia,0.91043
Croatia,0.9368
Uruguay,0.91494
Morocco,0.93384
Mexico,0.90715
Switzerland,0.9515
Japan,0.84129
Ecuador,0.93129
Austria,0.80603
Senegal,0.80113
United States,0.77614
Iran,0.8272
Türkiye,0.79131
Korea Republic,0.73905
Australia,0.70669
Canada,0.874
Norway,0.68719
Sweden,0.58897
Algeria,0.64265
Egypt,0.67156
Czechia,0.71456
Paraguay,0.48857
Scotland,0.56882
Panama,0.61921
Côte d'Ivoire,0.60512
Uzbekistan,0.42315
Tunisia,0.31829
South Africa,0.39406
Bosnia and Herzegovina,0.37888
Iraq,0.21634
Saudi Arabia,0.33067
Qatar,0.46002
Congo DR,0.33746
Cabo Verde,0.26558
Jordan,0.1979
New Zealand,0.23625
Ghana,0.1342
Curaçao,0.13103
Haiti,0.15015
